Summary,Issue Type,Description,Priority,Labels,Components,Epic Name,Epic Link
Reality Alignment (Truth in Product Surface),Epic,"Align product messaging and UX state with actual implementation to reduce trust debt and confusion.",High,"capability-gap prod-readiness",cross-cutting,Reality Alignment (Truth in Product Surface),
Payment System Implementation,Epic,"Implement production-ready payment flow and remove checkout placeholder behavior.",Highest,"stubbed prod-readiness",api-gateway,Payment System Implementation,
Service Forwarding and Internal API Mesh,Epic,"Implement authenticated internal service forwarding contract and route support.",High,"stubbed capability-gap",api-gateway,Service Forwarding and Internal API Mesh,
Landing Data Integrations (KPI and Auth Contract),Epic,"Wire landing KPI data and normalize auth URL contracts across web surfaces.",High,"contract-mismatch capability-gap",web-landing,Landing Data Integrations (KPI and Auth Contract),
Docs and Operational Readiness Hardening,Epic,"Consolidate status docs and add capability matrix as source of truth.",Medium,"prod-readiness ux-copy",docs,Docs and Operational Readiness Hardening,
"Payment checkout endpoint returns 501",Bug,"`POST /payments/create-checkout-session` currently returns 501 placeholder; implement real checkout session flow and success/cancel handling.",Highest,"stubbed capability-gap",api-gateway,,Payment System Implementation
"Decide payment provider and implementation approach",Spike,"Evaluate Stripe vs alternative provider against fees, compliance needs, webhooks, and implementation complexity. Deliver ADR + implementation plan.",High,"prod-readiness",api-gateway,,Payment System Implementation
"Service forwarding endpoint returns FORWARD_NOT_IMPLEMENTED",Bug,"`POST /services/forward/:service` returns 501. Implement route forwarding with authenticated service identity and allowlist.",High,"stubbed capability-gap",api-gateway,,Service Forwarding and Internal API Mesh
"Define internal forwarding contract and auth policy",Spike,"Write endpoint contract for forwarding: payload envelope, trace/correlation IDs, auth claims, retries, and error model.",High,"security prod-readiness",api-gateway,,Service Forwarding and Internal API Mesh
"Landing KPI references missing /api/stats endpoint",Bug,"`apps/web/index.html` has TODO for `/api/stats`; implement endpoint or remove KPI dependency until ready.",High,"capability-gap contract-mismatch",web-landing,,Landing Data Integrations (KPI and Auth Contract)
"Auth URL contract mismatch audit",Task,"Audit and normalize auth endpoints used by landing scripts and API routes; publish one canonical contract and update consumers.",High,"contract-mismatch",web-landing api-gateway,,Landing Data Integrations (KPI and Auth Contract)
"Replace beta page placeholder Supabase config",Task,"Remove hardcoded placeholder Supabase URL/key from beta page. Move to environment-injected config and document required variables.",High,"prod-readiness",web-landing,,Landing Data Integrations (KPI and Auth Contract)
"Add capability matrix and stale-claim guardrail",Task,"Create machine-readable capability matrix and add CI/doc guardrails to prevent 'live' claims when routes are stubbed.",Medium,"prod-readiness ux-copy",docs infra-ci,,Docs and Operational Readiness Hardening
"Normalize route naming (stripe vs payments) and docs",Tech Debt,"Resolve naming drift between route files and public path semantics; update route docs and tests.",Medium,"contract-mismatch",api-gateway docs,,Docs and Operational Readiness Hardening
"Retire or archive stale 'all systems operational' docs",Task,"Archive outdated status reports and add clear 'as-of date' + confidence level to status documents.",Medium,"ux-copy prod-readiness",docs,,Docs and Operational Readiness Hardening
